timestamps,open,close,high,low,volume,amount
2025-09-02 23:00:00,1.11053,1.11126,1.11144,1.11003,0.0,0
2025-09-03 00:00:00,1.11096,1.11157,1.11168,1.11056,0.0,0
2025-09-03 01:00:00,1.11149,1.11119,1.11208,1.11085,0.0,0
2025-09-03 02:00:00,1.11121,1.11166,1.11187,1.11074,0.0,0
2025-09-03 03:00:00,1.1116,1.11206,1.1121,1.11097,0.0,0
2025-09-03 04:00:00,1.11197,1.11181,1.11209,1.11131,0.0,0
2025-09-03 05:00:00,1.11179,1.11169,1.11209,1.11135,0.0,0
2025-09-03 06:00:00,1.1116,1.11014,1.11197,1.11014,0.0,0
2025-09-03 07:00:00,1.11071,1.11078,1.11258,1.10912,0.0,0
2025-09-03 08:00:00,1.11153,1.11162,1.11174,1.11075,0.0,0
2025-09-03 09:00:00,1.11144,1.11201,1.11214,1.11107,0.0,0
2025-09-03 10:00:00,1.11201,1.11221,1.11246,1.11147,0.0,0
2025-09-03 11:00:00,1.11226,1.11354,1.11376,1.11165,0.0,0
2025-09-03 12:00:00,1.11357,1.11333,1.11361,1.11204,0.0,0
2025-09-03 13:00:00,1.11333,1.11248,1.11335,1.11211,0.0,0
2025-09-03 14:00:00,1.11251,1.11251,1.11277,1.11177,0.0,0
2025-09-03 15:00:00,1.11244,1.11263,1.1128,1.11192,0.0,0
2025-09-03 16:00:00,1.11261,1.11233,1.11273,1.11177,0.0,0
2025-09-03 17:00:00,1.1123,1.11332,1.11351,1.1119,0.0,0
2025-09-03 18:00:00,1.11332,1.11298,1.1135,1.1123,0.0,0
2025-09-03 19:00:00,1.11278,1.11366,1.114,1.11248,0.0,0
2025-09-03 20:00:00,1.11371,1.11409,1.11431,1.11334,0.0,0
2025-09-03 21:00:00,1.11405,1.11415,1.11445,1.1136,0.0,0
2025-09-03 22:00:00,1.11415,1.11452,1.1147,1.11357,0.0,0
2025-09-03 23:00:00,1.11452,1.11392,1.11514,1.11392,0.0,0
2025-09-04 00:00:00,1.11431,1.11375,1.11453,1.1121,0.0,0
2025-09-04 01:00:00,1.11366,1.11371,1.11395,1.11304,0.0,0
2025-09-04 02:00:00,1.11369,1.11406,1.1142,1.11337,0.0,0
2025-09-04 03:00:00,1.11398,1.11348,1.11418,1.11311,0.0,0
2025-09-04 04:00:00,1.11361,1.11374,1.11383,1.11309,0.0,0
2025-09-04 05:00:00,1.1137,1.1134,1.1139,1.11269,0.0,0
2025-09-04 06:00:00,1.1134,1.11279,1.1135,1.11204,0.0,0
2025-09-04 07:00:00,1.11288,1.11263,1.11333,1.11107,0.0,0
2025-09-04 08:00:00,1.1123,1.11292,1.1131,1.11165,0.0,0
2025-09-04 09:00:00,1.11278,1.11284,1.11317,1.11239,0.0,0
2025-09-04 10:00:00,1.11275,1.11269,1.11339,1.11233,0.0,0
2025-09-04 11:00:00,1.11272,1.11155,1.11288,1.11124,0.0,0
2025-09-04 12:00:00,1.11162,1.11228,1.11238,1.11123,0.0,0
2025-09-04 13:00:00,1.11223,1.11219,1.11257,1.11169,0.0,0
2025-09-04 14:00:00,1.11219,1.11231,1.11244,1.11171,0.0,0
2025-09-04 15:00:00,1.11215,1.11202,1.1125,1.11159,0.0,0
2025-09-04 16:00:00,1.11199,1.11201,1.11228,1.11126,0.0,0
2025-09-04 17:00:00,1.11196,1.11263,1.11275,1.11144,0.0,0
2025-09-04 18:00:00,1.11256,1.11207,1.11268,1.11169,0.0,0
2025-09-04 19:00:00,1.11211,1.11242,1.11277,1.1116,0.0,0
2025-09-04 20:00:00,1.1124,1.11241,1.11263,1.11194,0.0,0
2025-09-04 21:00:00,1.11254,1.11265,1.11284,1.11191,0.0,0
2025-09-04 22:00:00,1.11268,1.11341,1.11351,1.11185,0.0,0
2025-09-04 23:00:00,1.1134,1.11368,1.1141,1.11271,0.0,0
2025-09-05 00:00:00,1.11376,1.11504,1.11506,1.11276,0.0,0
2025-09-05 01:00:00,1.11504,1.11552,1.11562,1.11429,0.0,0
2025-09-05 02:00:00,1.11547,1.11538,1.11564,1.11471,0.0,0
2025-09-05 03:00:00,1.11539,1.11534,1.11552,1.11484,0.0,0
2025-09-05 04:00:00,1.11525,1.11538,1.11549,1.11471,0.0,0
2025-09-05 05:00:00,1.11518,1.11498,1.11542,1.11452,0.0,0
2025-09-05 06:00:00,1.11489,1.1145,1.11504,1.11391,0.0,0
2025-09-05 07:00:00,1.1133,1.11392,1.11471,1.11254,0.0,0
2025-09-05 08:00:00,1.11353,1.11458,1.11496,1.11287,0.0,0
2025-09-05 09:00:00,1.11457,1.11472,1.11482,1.11412,0.0,0
2025-09-05 10:00:00,1.1146,1.11426,1.11483,1.11385,0.0,0
2025-09-05 11:00:00,1.11422,1.11336,1.11444,1.11317,0.0,0
2025-09-05 12:00:00,1.11332,1.11379,1.11395,1.11276,0.0,0
2025-09-05 13:00:00,1.11379,1.11351,1.11398,1.11305,0.0,0
