timestamps,open,close,high,low,volume,amount
2025-09-05 14:00:00,1.78695,1.78718,1.78765,1.78651,0.0,0
2025-09-05 15:00:00,1.78722,1.78635,1.78743,1.7857,0.0,0
2025-09-05 16:00:00,1.78651,1.78625,1.78691,1.78512,0.0,0
2025-09-05 17:00:00,1.78624,1.7845,1.78634,1.78403,0.0,0
2025-09-05 18:00:00,1.78452,1.78507,1.78527,1.78348,0.0,0
2025-09-05 19:00:00,1.78509,1.78587,1.78642,1.78465,0.0,0
2025-09-05 20:00:00,1.78586,1.78672,1.78711,1.78524,0.0,0
2025-09-05 21:00:00,1.78672,1.78677,1.7868,1.78488,0.0,0
2025-09-05 22:00:00,1.78668,1.78542,1.78907,1.78408,0.0,0
2025-09-05 23:00:00,1.78549,1.78314,1.78584,1.78109,0.0,0
2025-09-06 00:00:00,1.78324,1.78978,1.79003,1.783,0.0,0
2025-09-06 01:00:00,1.78976,1.79015,1.79138,1.78812,0.0,0
2025-09-06 02:00:00,1.79019,1.78844,1.79033,1.78799,0.0,0
2025-09-06 03:00:00,1.78846,1.78864,1.78957,1.78757,0.0,0
2025-09-06 04:00:00,1.78853,1.7882,1.78891,1.78774,0.0,0
2025-09-06 05:00:00,1.78817,1.78828,1.78872,1.78755,0.0,0
2025-09-06 06:00:00,1.78814,1.7871,1.78833,1.78592,0.0,0
2025-09-06 07:00:00,1.7864,1.7864,1.7864,1.7864,0.0,0
2025-09-08 09:00:00,1.78786,1.78665,1.78829,1.78637,0.0,0
2025-09-08 10:00:00,1.7867,1.78652,1.78749,1.78588,0.0,0
2025-09-08 11:00:00,1.78652,1.78373,1.78717,1.78327,0.0,0
2025-09-08 12:00:00,1.78367,1.78467,1.78686,1.78341,0.0,0
2025-09-08 13:00:00,1.78467,1.78506,1.78591,1.78411,0.0,0
2025-09-08 14:00:00,1.78496,1.78468,1.78606,1.78428,0.0,0
2025-09-08 15:00:00,1.78469,1.78446,1.78543,1.78388,0.0,0
2025-09-08 16:00:00,1.78461,1.7831,1.78483,1.78256,0.0,0
2025-09-08 17:00:00,1.78315,1.78161,1.78331,1.78079,0.0,0
2025-09-08 18:00:00,1.78156,1.78158,1.78298,1.78079,0.0,0
2025-09-08 19:00:00,1.78156,1.78108,1.78189,1.78004,0.0,0
2025-09-08 20:00:00,1.78107,1.78009,1.78112,1.77966,0.0,0
2025-09-08 21:00:00,1.78009,1.77955,1.78069,1.77822,0.0,0
2025-09-08 22:00:00,1.77955,1.77947,1.78046,1.77893,0.0,0
2025-09-08 23:00:00,1.77943,1.78303,1.78364,1.77914,0.0,0
2025-09-09 00:00:00,1.78303,1.78374,1.78419,1.78242,0.0,0
2025-09-09 01:00:00,1.78381,1.78301,1.78416,1.7822,0.0,0
2025-09-09 02:00:00,1.78293,1.78276,1.78359,1.78225,0.0,0
2025-09-09 03:00:00,1.78276,1.78341,1.78403,1.78243,0.0,0
2025-09-09 04:00:00,1.78341,1.78382,1.78394,1.78282,0.0,0
2025-09-09 05:00:00,1.78377,1.78349,1.78423,1.78295,0.0,0
2025-09-09 06:00:00,1.78349,1.78361,1.7845,1.78288,0.0,0
2025-09-09 07:00:00,1.78487,1.78417,1.7862,1.78326,0.0,0
2025-09-09 08:00:00,1.78408,1.78365,1.78436,1.78299,0.0,0
2025-09-09 09:00:00,1.78343,1.78367,1.78441,1.78318,0.0,0
2025-09-09 10:00:00,1.78358,1.78455,1.78466,1.78322,0.0,0
2025-09-09 11:00:00,1.78455,1.78462,1.78584,1.78389,0.0,0
2025-09-09 12:00:00,1.78449,1.78247,1.78465,1.78209,0.0,0
2025-09-09 13:00:00,1.78258,1.78245,1.78391,1.78217,0.0,0
2025-09-09 14:00:00,1.78251,1.78188,1.7832,1.78185,0.0,0
2025-09-09 15:00:00,1.78185,1.78086,1.78232,1.78044,0.0,0
2025-09-09 16:00:00,1.78081,1.78101,1.78217,1.77956,0.0,0
2025-09-09 17:00:00,1.78094,1.77888,1.78105,1.77883,0.0,0
2025-09-09 18:00:00,1.77899,1.77824,1.77908,1.77726,0.0,0
2025-09-09 19:00:00,1.77824,1.77799,1.779,1.77738,0.0,0
