timestamps,open,close,high,low,volume,amount
2025-09-03 19:00:00,1.34122,1.34084,1.34154,1.34032,0.0,0
2025-09-03 20:00:00,1.34061,1.34046,1.34111,1.33964,0.0,0
2025-09-03 21:00:00,1.34045,1.34129,1.34129,1.33991,0.0,0
2025-09-03 22:00:00,1.34131,1.3425,1.34275,1.34109,0.0,0
2025-09-03 23:00:00,1.34237,1.34189,1.34338,1.34118,0.0,0
2025-09-04 00:00:00,1.34275,1.3434,1.34468,1.3427,0.0,0
2025-09-04 01:00:00,1.34322,1.34479,1.34537,1.3432,0.0,0
2025-09-04 02:00:00,1.34479,1.34503,1.34523,1.34452,0.0,0
2025-09-04 03:00:00,1.34523,1.34418,1.34582,1.3441,0.0,0
2025-09-04 04:00:00,1.34389,1.34421,1.34475,1.34389,0.0,0
2025-09-04 05:00:00,1.34412,1.34391,1.34419,1.34358,0.0,0
2025-09-04 06:00:00,1.34398,1.34447,1.34466,1.34385,0.0,0
2025-09-04 07:00:00,1.34432,1.34421,1.34457,1.34409,0.0,0
2025-09-04 08:00:00,1.34403,1.34394,1.34427,1.34394,0.0,0
2025-09-04 09:00:00,1.34403,1.34416,1.34432,1.34387,0.0,0
2025-09-04 10:00:00,1.34403,1.3443,1.34441,1.34367,0.0,0
2025-09-04 11:00:00,1.34419,1.34385,1.34488,1.34354,0.0,0
2025-09-04 12:00:00,1.34376,1.34313,1.34376,1.34302,0.0,0
2025-09-04 13:00:00,1.34309,1.34289,1.34318,1.3427,0.0,0
2025-09-04 14:00:00,1.34295,1.34279,1.34306,1.34253,0.0,0
2025-09-04 15:00:00,1.34275,1.34286,1.34304,1.34248,0.0,0
2025-09-04 16:00:00,1.34315,1.34354,1.34407,1.34293,0.0,0
2025-09-04 17:00:00,1.34344,1.34271,1.34391,1.34165,0.0,0
2025-09-04 18:00:00,1.3428,1.34542,1.34557,1.3428,0.0,0
2025-09-04 19:00:00,1.34532,1.34409,1.34589,1.3436,0.0,0
2025-09-04 20:00:00,1.34389,1.34494,1.34555,1.3438,0.0,0
2025-09-04 21:00:00,1.34472,1.34329,1.34472,1.34255,0.0,0
2025-09-04 22:00:00,1.34358,1.34416,1.34483,1.34248,0.0,0
2025-09-04 23:00:00,1.34428,1.34423,1.34465,1.34275,0.0,0
2025-09-05 00:00:00,1.34317,1.34275,1.3438,1.34178,0.0,0
2025-09-05 01:00:00,1.34277,1.34391,1.34407,1.34273,0.0,0
2025-09-05 02:00:00,1.34389,1.34214,1.34389,1.34185,0.0,0
2025-09-05 03:00:00,1.34217,1.34226,1.34262,1.34208,0.0,0
2025-09-05 04:00:00,1.34228,1.34268,1.34318,1.34228,0.0,0
2025-09-05 05:00:00,1.34275,1.34354,1.34367,1.34273,0.0,0
2025-09-05 06:00:00,1.34356,1.34353,1.34378,1.34331,0.0,0
2025-09-05 07:00:00,1.34237,1.34336,1.34369,1.34225,0.0,0
2025-09-05 08:00:00,1.34347,1.34342,1.34362,1.34336,0.0,0
2025-09-05 09:00:00,1.34351,1.34445,1.3445,1.3434,0.0,0
2025-09-05 10:00:00,1.34448,1.34497,1.34497,1.34428,0.0,0
2025-09-05 11:00:00,1.34517,1.34526,1.34546,1.34472,0.0,0
2025-09-05 12:00:00,1.34515,1.34535,1.34573,1.3451,0.0,0
2025-09-05 13:00:00,1.34528,1.34542,1.34555,1.34524,0.0,0
2025-09-05 14:00:00,1.34546,1.34508,1.3455,1.3449,0.0,0
2025-09-05 15:00:00,1.34506,1.34622,1.34629,1.34497,0.0,0
2025-09-05 16:00:00,1.346,1.34588,1.34715,1.3457,0.0,0
2025-09-05 17:00:00,1.34577,1.34658,1.34658,1.34512,0.0,0
2025-09-05 18:00:00,1.34635,1.34709,1.34724,1.34635,0.0,0
2025-09-05 19:00:00,1.34693,1.34814,1.34814,1.34684,0.0,0
2025-09-05 20:00:00,1.34814,1.34793,1.34856,1.34793,0.0,0
2025-09-05 21:00:00,1.34782,1.34635,1.3484,1.34635,0.0,0
2025-09-05 22:00:00,1.34579,1.35203,1.35281,1.34579,0.0,0
2025-09-05 23:00:00,1.35225,1.35494,1.35494,1.35163,0.0,0
2025-09-06 00:00:00,1.35465,1.35208,1.35538,1.3506,0.0,0
2025-09-06 01:00:00,1.35217,1.35424,1.35437,1.35217,0.0,0
2025-09-06 02:00:00,1.35411,1.35261,1.35424,1.35261,0.0,0
2025-09-06 03:00:00,1.35263,1.35124,1.35263,1.35117,0.0,0
2025-09-06 04:00:00,1.35111,1.35057,1.35148,1.35015,0.0,0
2025-09-06 05:00:00,1.35055,1.35035,1.35121,1.3502,0.0,0
2025-09-06 06:00:00,1.35031,1.35082,1.35119,1.35031,0.0,0
2025-09-06 07:00:00,1.35066,1.35022,1.35066,1.35022,0.0,0
2025-09-06 08:00:00,1.35022,1.35022,1.35022,1.35022,0.0,0
2025-09-08 09:00:00,1.34896,1.34922,1.3496,1.34869,0.0,0
2025-09-08 10:00:00,1.34891,1.34964,1.34964,1.34845,0.0,0
2025-09-08 11:00:00,1.34989,1.35017,1.35027,1.34918,0.0,0
2025-09-08 12:00:00,1.35053,1.35042,1.35057,1.34978,0.0,0
2025-09-08 13:00:00,1.3506,1.34964,1.3506,1.34955,0.0,0
2025-09-08 14:00:00,1.34951,1.34969,1.3498,1.34876,0.0,0
2025-09-08 15:00:00,1.34969,1.34967,1.35037,1.34967,0.0,0
2025-09-08 16:00:00,1.34982,1.35186,1.35186,1.34982,0.0,0
2025-09-08 17:00:00,1.35146,1.3517,1.35259,1.35119,0.0,0
2025-09-08 18:00:00,1.35155,1.35117,1.35258,1.35079,0.0,0
2025-09-08 19:00:00,1.35108,1.35095,1.35144,1.35089,0.0,0
2025-09-08 20:00:00,1.35095,1.35323,1.35323,1.35033,0.0,0
2025-09-08 21:00:00,1.35291,1.35322,1.35362,1.35234,0.0,0
2025-09-08 22:00:00,1.35329,1.35432,1.35481,1.3528,0.0,0
2025-09-08 23:00:00,1.3543,1.35446,1.35551,1.35413,0.0,0
2025-09-09 00:00:00,1.35459,1.35356,1.35459,1.35318,0.0,0
2025-09-09 01:00:00,1.35353,1.35452,1.3547,1.3534,0.0,0
2025-09-09 02:00:00,1.35476,1.35373,1.35476,1.35303,0.0,0
2025-09-09 03:00:00,1.35373,1.3528,1.35391,1.3528,0.0,0
2025-09-09 04:00:00,1.35296,1.35527,1.35538,1.35294,0.0,0
2025-09-09 05:00:00,1.35518,1.35514,1.35549,1.35501,0.0,0
2025-09-09 06:00:00,1.35514,1.35465,1.35514,1.3545,0.0,0
2025-09-09 07:00:00,1.35538,1.35465,1.35538,1.35439,0.0,0
2025-09-09 08:00:00,1.35483,1.35494,1.35503,1.35466,0.0,0
2025-09-09 09:00:00,1.35507,1.35529,1.35582,1.35505,0.0,0
2025-09-09 10:00:00,1.35516,1.35591,1.35619,1.35516,0.0,0
2025-09-09 11:00:00,1.35575,1.3567,1.35689,1.35536,0.0,0
2025-09-09 12:00:00,1.3568,1.35643,1.35717,1.35639,0.0,0
2025-09-09 13:00:00,1.35636,1.35602,1.35648,1.3559,0.0,0
2025-09-09 14:00:00,1.35601,1.35748,1.35755,1.35597,0.0,0
2025-09-09 15:00:00,1.35746,1.35801,1.35809,1.35718,0.0,0
2025-09-09 16:00:00,1.35807,1.35669,1.3582,1.35591,0.0,0
