timestamps,open,close,high,low,volume,amount
2025-09-05 02:00:00,199.73199,199.466,199.748,199.44701,0.0,0
2025-09-05 03:00:00,199.466,199.507,199.582,199.44,0.0,0
2025-09-05 04:00:00,199.507,199.464,199.59599,199.43401,0.0,0
2025-09-05 05:00:00,199.463,199.5,199.517,199.42,0.0,0
2025-09-05 06:00:00,199.504,199.41,199.55901,199.41,0.0,0
2025-09-05 07:00:00,199.416,199.308,199.53999,199.174,0.0,0
2025-09-05 08:00:00,199.308,199.44299,199.502,199.289,0.0,0
2025-09-05 09:00:00,199.446,199.52499,199.534,199.367,0.0,0
2025-09-05 10:00:00,199.52699,199.271,199.55701,199.224,0.0,0
2025-09-05 11:00:00,199.271,199.272,199.373,199.228,0.0,0
2025-09-05 12:00:00,199.271,199.341,199.367,199.216,0.0,0
2025-09-05 13:00:00,199.341,199.34599,199.37801,199.244,0.0,0
2025-09-05 14:00:00,199.347,199.349,199.408,199.32401,0.0,0
2025-09-05 15:00:00,199.34801,199.472,199.509,199.291,0.0,0
2025-09-05 16:00:00,199.45,199.46201,199.69701,199.423,0.0,0
2025-09-05 17:00:00,199.461,199.55701,199.597,199.35899,0.0,0
2025-09-05 18:00:00,199.556,199.56799,199.61099,199.46001,0.0,0
2025-09-05 19:00:00,199.56599,199.745,199.754,199.507,0.0,0
2025-09-05 20:00:00,199.745,199.675,199.791,199.655,0.0,0
2025-09-05 21:00:00,199.677,199.51199,199.77499,199.502,0.0,0
2025-09-05 22:00:00,199.50101,199.157,199.644,198.948,0.0,0
2025-09-05 23:00:00,199.15601,199.23399,199.327,199.061996,0.0,0
2025-09-06 00:00:00,199.235,198.847,199.30901,198.664,0.0,0
2025-09-06 01:00:00,198.84801,198.834,198.942,198.7,0.0,0
2025-09-06 02:00:00,198.83701,199.020004,199.039001,198.76401,0.0,0
2025-09-06 03:00:00,199.011993,199.0019989,199.089996,198.963,0.0,0
2025-09-06 04:00:00,199.0019989,199.146,199.16701,198.98,0.0,0
2025-09-06 05:00:00,199.146,199.11099,199.18201,199.067993,0.0,0
2025-09-06 06:00:00,199.11099,199.078003,199.20599,198.97301,0.0,0
2025-09-06 07:00:00,199.17101,199.17101,199.17101,199.17101,0.0,0
2025-09-08 09:00:00,200.175,200.118,200.269,199.936,0.0,0
2025-09-08 10:00:00,200.11099,200.19,200.34599,200.063995,0.0,0
2025-09-08 11:00:00,200.19501,200.0099945,200.257,199.974,0.0,0
2025-09-08 12:00:00,200.0050049,199.964,200.014999,199.836,0.0,0
2025-09-08 13:00:00,199.959,199.996,200.041,199.882,0.0,0
2025-09-08 14:00:00,199.99899,199.972,200.0039978,199.87601,0.0,0
2025-09-08 15:00:00,199.965,199.92999,200.003006,199.81599,0.0,0
2025-09-08 16:00:00,199.92799,199.838,200.0099945,199.778,0.0,0
2025-09-08 17:00:00,199.834,199.399,199.84,199.395,0.0,0
2025-09-08 18:00:00,199.399,199.554,199.597,199.353,0.0,0
2025-09-08 19:00:00,199.55099,199.59801,199.634,199.491,0.0,0
2025-09-08 20:00:00,199.592,199.98199,200.014999,199.548,0.0,0
2025-09-08 21:00:00,199.981,199.92799,200.046997,199.814,0.0,0
2025-09-08 22:00:00,199.92599,200.018997,200.074005,199.92,0.0,0
2025-09-08 23:00:00,200.018997,200.020996,200.132,199.89301,0.0,0
2025-09-09 00:00:00,200.020996,199.97501,200.147,199.908,0.0,0
2025-09-09 01:00:00,199.976,199.923,199.98399,199.834,0.0,0
2025-09-09 02:00:00,199.923,199.92599,199.948,199.834,0.0,0
2025-09-09 03:00:00,199.92599,199.839,199.993,199.834,0.0,0
2025-09-09 04:00:00,199.839,199.849,199.933,199.804,0.0,0
2025-09-09 05:00:00,199.84801,199.755,199.854,199.664,0.0,0
2025-09-09 06:00:00,199.756,199.69501,199.851,199.69501,0.0,0
2025-09-09 07:00:00,199.709,199.78101,199.92999,199.67999,0.0,0
2025-09-09 08:00:00,199.76601,199.72099,199.827,199.69099,0.0,0
2025-09-09 09:00:00,199.71899,199.72099,199.776,199.57001,0.0,0
2025-09-09 10:00:00,199.72501,199.769,199.798,199.554,0.0,0
2025-09-09 11:00:00,199.769,199.755,199.814,199.67599,0.0,0
2025-09-09 12:00:00,199.752,199.83299,199.86301,199.74001,0.0,0
2025-09-09 13:00:00,199.83299,199.812,199.873,199.79201,0.0,0
2025-09-09 14:00:00,199.812,199.70799,199.836,199.64999,0.0,0
2025-09-09 15:00:00,199.702,199.41499,199.714,199.39101,0.0,0
2025-09-09 16:00:00,199.416,199.487,199.573,199.386,0.0,0
2025-09-09 17:00:00,199.487,199.67999,199.789,199.46201,0.0,0
2025-09-09 18:00:00,199.685,199.0059967,199.789,198.875,0.0,0
2025-09-09 19:00:00,199.0090027,198.836,199.037003,198.786,0.0,0
2025-09-09 20:00:00,198.84399,198.858,198.946,198.81,0.0,0
2025-09-09 21:00:00,198.86,198.937,199.042999,198.806,0.0,0
2025-09-09 22:00:00,198.931,199.14101,199.15401,198.873,0.0,0
2025-09-09 23:00:00,199.13699,199.044006,199.188,199.024994,0.0,0
2025-09-10 00:00:00,199.042999,199.161,199.173,198.84599,0.0,0
2025-09-10 01:00:00,199.15601,199.224,199.334,199.11501,0.0,0
2025-09-10 02:00:00,199.224,199.32001,199.424,199.15601,0.0,0
2025-09-10 03:00:00,199.317,199.30901,199.46001,199.27299,0.0,0
2025-09-10 04:00:00,199.311,199.315,199.375,199.269,0.0,0
2025-09-10 05:00:00,199.315,199.336,199.381,199.299,0.0,0
2025-09-10 06:00:00,199.33,199.386,199.44299,199.32201,0.0,0
2025-09-10 07:00:00,199.39101,199.29401,199.39799,199.14,0.0,0
2025-09-10 08:00:00,199.29401,199.35699,199.41,199.23801,0.0,0
2025-09-10 09:00:00,199.367,199.27901,199.39,199.256,0.0,0
2025-09-10 10:00:00,199.27901,199.34599,199.423,199.23801,0.0,0
2025-09-10 11:00:00,199.345,199.312,199.448,199.265,0.0,0
2025-09-10 12:00:00,199.306,199.319,199.356,199.26601,0.0,0
2025-09-10 13:00:00,199.315,199.45399,199.47301,199.314,0.0,0
2025-09-10 14:00:00,199.455,199.504,199.577,199.455,0.0,0
2025-09-10 15:00:00,199.502,199.536,199.612,199.409,0.0,0
2025-09-10 16:00:00,199.532,199.589,199.67,199.495,0.0,0
2025-09-10 17:00:00,199.59599,199.608,199.638,199.394,0.0,0
2025-09-10 18:00:00,199.606,199.547,199.63499,199.44099,0.0,0
2025-09-10 19:00:00,199.549,199.64301,199.709,199.524,0.0,0
2025-09-10 20:00:00,199.64301,199.661,199.679,199.524,0.0,0
2025-09-10 21:00:00,199.661,199.64,199.70399,199.55901,0.0,0
2025-09-10 22:00:00,199.64,199.604,199.7,199.42101,0.0,0
2025-09-10 23:00:00,199.60699,199.71899,199.80499,199.48,0.0,0
2025-09-11 00:00:00,199.716,199.733,199.799,199.62801,0.0,0
2025-09-11 01:00:00,199.731,199.62601,199.797,199.577,0.0,0
2025-09-11 02:00:00,199.62801,199.48199,199.692,199.435,0.0,0
2025-09-11 03:00:00,199.48399,199.403,199.494,199.298,0.0,0
2025-09-11 04:00:00,199.403,199.41299,199.45,199.36099,0.0,0
2025-09-11 05:00:00,199.407,199.45,199.463,199.353,0.0,0
2025-09-11 06:00:00,199.453,199.44,199.522,199.35201,0.0,0
2025-09-11 07:00:00,199.442,199.33,199.519,199.20399,0.0,0
2025-09-11 08:00:00,199.32899,199.479,199.515,199.32899,0.0,0
2025-09-11 09:00:00,199.47,199.407,199.489,199.37601,0.0,0
2025-09-11 10:00:00,199.408,199.474,199.513,199.369,0.0,0
2025-09-11 11:00:00,199.474,199.409,199.517,199.32401,0.0,0
2025-09-11 12:00:00,199.414,199.457,199.485,199.37601,0.0,0
2025-09-11 13:00:00,199.457,199.451,199.496,199.429,0.0,0
2025-09-11 14:00:00,199.451,199.42599,199.478,199.373,0.0,0
2025-09-11 15:00:00,199.42599,199.47,199.509,199.34801,0.0,0
2025-09-11 16:00:00,199.467,199.661,199.78101,199.467,0.0,0
2025-09-11 17:00:00,199.666,199.72501,199.77901,199.522,0.0,0
2025-09-11 18:00:00,199.72501,199.808,199.867,199.724,0.0,0
2025-09-11 19:00:00,199.81,199.786,199.86301,199.685,0.0,0
2025-09-11 20:00:00,199.786,199.981,199.98199,199.68401,0.0,0
2025-09-11 21:00:00,199.97701,199.86501,200.057999,199.84399,0.0,0
2025-09-11 22:00:00,199.867,199.823,200.091003,199.571,0.0,0
2025-09-11 23:00:00,199.823,199.71001,199.918,199.673,0.0,0
2025-09-12 00:00:00,199.709,199.543,199.746,199.366,0.0,0
2025-09-12 01:00:00,199.547,199.646,199.774,199.541,0.0,0
2025-09-12 02:00:00,199.64101,199.664,199.709,199.55901,0.0,0
2025-09-12 03:00:00,199.66299,199.879,199.89799,199.65601,0.0,0
2025-09-12 04:00:00,199.877,199.84801,199.961,199.83099,0.0,0
2025-09-12 05:00:00,199.847,199.813,199.866,199.746,0.0,0
2025-09-12 06:00:00,199.81,199.76401,199.873,199.69901,0.0,0
2025-09-12 07:00:00,199.786,199.771,199.90401,199.578,0.0,0
2025-09-12 08:00:00,199.78799,199.862,199.894,199.709,0.0,0
2025-09-12 09:00:00,199.86,199.84801,199.903,199.798,0.0,0
2025-09-12 10:00:00,199.84599,199.828,199.95,199.75301,0.0,0
2025-09-12 11:00:00,199.832,199.855,199.89301,199.709,0.0,0
2025-09-12 12:00:00,199.85201,199.871,199.961,199.81799,0.0,0
2025-09-12 13:00:00,199.871,199.866,199.938,199.834,0.0,0
2025-09-12 14:00:00,199.864,199.955,199.987,199.849,0.0,0
2025-09-12 15:00:00,199.955,199.743,199.99899,199.743,0.0,0
2025-09-12 16:00:00,199.761,199.832,199.895,199.64999,0.0,0
2025-09-12 17:00:00,199.832,200.0090027,200.044998,199.812,0.0,0
2025-09-12 18:00:00,200.0070038,200.157,200.242,199.957,0.0,0
2025-09-12 19:00:00,200.157,200.384,200.408,200.118,0.0,0
2025-09-12 20:00:00,200.382,200.29601,200.48,200.24899,0.0,0
2025-09-12 21:00:00,200.29601,200.299,200.408,200.19299,0.0,0
2025-09-12 22:00:00,200.299,200.229,200.345,200.188,0.0,0
2025-09-12 23:00:00,200.229,200.098999,200.255,200.072998,0.0,0
2025-09-13 00:00:00,200.104,200.22,200.34,200.067993,0.0,0
2025-09-13 01:00:00,200.217,200.276,200.36,200.194,0.0,0
2025-09-13 02:00:00,200.276,200.256,200.34399,200.207,0.0,0
2025-09-13 03:00:00,200.256,200.082993,200.31,200.070007,0.0,0
2025-09-13 04:00:00,200.082993,200.133,200.146,200.048004,0.0,0
2025-09-13 05:00:00,200.136,200.14999,200.203,200.078003,0.0,0
2025-09-13 06:00:00,200.14101,200.149,200.26801,200.052002,0.0,0
2025-09-13 07:00:00,200.19099,200.19099,200.19099,200.19099,0.0,0
