timestamps,open,close,high,low,volume,amount
2025-09-05 14:00:00,1.0822,1.08238,1.08251,1.08177,0.0,0
2025-09-05 15:00:00,1.08237,1.08228,1.08247,1.08166,0.0,0
2025-09-05 16:00:00,1.08223,1.08234,1.08344,1.08199,0.0,0
2025-09-05 17:00:00,1.08233,1.08205,1.08262,1.08095,0.0,0
2025-09-05 18:00:00,1.08207,1.08201,1.08273,1.08143,0.0,0
2025-09-05 19:00:00,1.082,1.08256,1.08265,1.08113,0.0,0
2025-09-05 20:00:00,1.08256,1.08221,1.08275,1.08173,0.0,0
2025-09-05 21:00:00,1.0822,1.08165,1.0829,1.08156,0.0,0
2025-09-05 22:00:00,1.08157,1.08132,1.08252,1.0796,0.0,0
2025-09-05 23:00:00,1.08133,1.08079,1.08156,1.07957,0.0,0
2025-09-06 00:00:00,1.08075,1.07849,1.08101,1.07754,0.0,0
2025-09-06 01:00:00,1.07849,1.07757,1.07883,1.07682,0.0,0
2025-09-06 02:00:00,1.0776,1.07806,1.07855,1.07683,0.0,0
2025-09-06 03:00:00,1.07803,1.07781,1.07856,1.07729,0.0,0
2025-09-06 04:00:00,1.07777,1.07804,1.07835,1.07733,0.0,0
2025-09-06 05:00:00,1.07805,1.0778,1.07835,1.07737,0.0,0
2025-09-06 06:00:00,1.07779,1.07771,1.07837,1.07646,0.0,0
2025-09-06 07:00:00,1.07779,1.07779,1.07779,1.07779,0.0,0
2025-09-08 09:00:00,1.07795,1.07828,1.0784,1.07733,0.0,0
2025-09-08 10:00:00,1.07834,1.07742,1.07838,1.07696,0.0,0
2025-09-08 11:00:00,1.0774,1.07764,1.07786,1.07672,0.0,0
2025-09-08 12:00:00,1.07764,1.07761,1.07774,1.07672,0.0,0
2025-09-08 13:00:00,1.07759,1.07706,1.07781,1.07665,0.0,0
2025-09-08 14:00:00,1.07707,1.07625,1.07714,1.07579,0.0,0
2025-09-08 15:00:00,1.07619,1.07596,1.0767,1.07554,0.0,0
2025-09-08 16:00:00,1.07598,1.0767,1.07672,1.07548,0.0,0
2025-09-08 17:00:00,1.07661,1.07552,1.077,1.07502,0.0,0
2025-09-08 18:00:00,1.07552,1.07541,1.0762,1.07475,0.0,0
2025-09-08 19:00:00,1.07542,1.07577,1.076,1.07501,0.0,0
2025-09-08 20:00:00,1.07575,1.0761,1.0764,1.07509,0.0,0
2025-09-08 21:00:00,1.07612,1.07641,1.07698,1.07524,0.0,0
2025-09-08 22:00:00,1.07642,1.07616,1.07704,1.07547,0.0,0
2025-09-08 23:00:00,1.07614,1.07482,1.07623,1.07436,0.0,0
2025-09-09 00:00:00,1.07486,1.07433,1.0752,1.07388,0.0,0
2025-09-09 01:00:00,1.07433,1.07488,1.07488,1.07373,0.0,0
2025-09-09 02:00:00,1.0748,1.07522,1.0753,1.07415,0.0,0
2025-09-09 03:00:00,1.07515,1.07482,1.0755,1.07436,0.0,0
2025-09-09 04:00:00,1.07482,1.07509,1.07541,1.07437,0.0,0
2025-09-09 05:00:00,1.07509,1.07459,1.07509,1.07409,0.0,0
2025-09-09 06:00:00,1.07457,1.07414,1.07483,1.07364,0.0,0
2025-09-09 07:00:00,1.07367,1.07412,1.07521,1.07347,0.0,0
2025-09-09 08:00:00,1.07378,1.0746,1.0748,1.07338,0.0,0
2025-09-09 09:00:00,1.07466,1.07447,1.07481,1.07402,0.0,0
2025-09-09 10:00:00,1.07442,1.07449,1.07467,1.07395,0.0,0
2025-09-09 11:00:00,1.0745,1.07486,1.07495,1.07384,0.0,0
2025-09-09 12:00:00,1.07482,1.07519,1.07532,1.07432,0.0,0
2025-09-09 13:00:00,1.07515,1.07521,1.0754,1.0747,0.0,0
2025-09-09 14:00:00,1.07523,1.07537,1.07551,1.07468,0.0,0
2025-09-09 15:00:00,1.07537,1.07515,1.07557,1.07451,0.0,0
2025-09-09 16:00:00,1.07515,1.07454,1.0755,1.07405,0.0,0
2025-09-09 17:00:00,1.0745,1.07656,1.07684,1.07387,0.0,0
2025-09-09 18:00:00,1.07658,1.0764,1.07736,1.07557,0.0,0
2025-09-09 19:00:00,1.07638,1.07714,1.0773,1.07559,0.0,0
2025-09-09 20:00:00,1.07714,1.07742,1.07768,1.07642,0.0,0
2025-09-09 21:00:00,1.07742,1.0768,1.07766,1.07639,0.0,0
2025-09-09 22:00:00,1.07677,1.07748,1.0779,1.07624,0.0,0
2025-09-09 23:00:00,1.07747,1.07652,1.07765,1.07622,0.0,0
2025-09-10 00:00:00,1.07658,1.07664,1.07736,1.07585,0.0,0
2025-09-10 01:00:00,1.07665,1.07719,1.07739,1.07628,0.0,0
2025-09-10 02:00:00,1.07716,1.07847,1.07891,1.07627,0.0,0
2025-09-10 03:00:00,1.07848,1.0784,1.079,1.07786,0.0,0
2025-09-10 04:00:00,1.07837,1.07866,1.07902,1.0777,0.0,0
2025-09-10 05:00:00,1.07863,1.07822,1.07874,1.07782,0.0,0
2025-09-10 06:00:00,1.07821,1.07776,1.07877,1.07731,0.0,0
2025-09-10 07:00:00,1.07666,1.07771,1.07826,1.07529,0.0,0
2025-09-10 08:00:00,1.07738,1.07823,1.07845,1.07711,0.0,0
2025-09-10 09:00:00,1.07823,1.07809,1.07839,1.07712,0.0,0
2025-09-10 10:00:00,1.07815,1.07878,1.07893,1.07799,0.0,0
2025-09-10 11:00:00,1.07881,1.07874,1.0793,1.07832,0.0,0
2025-09-10 12:00:00,1.07874,1.07902,1.07911,1.07824,0.0,0
2025-09-10 13:00:00,1.079,1.0791,1.0794,1.07857,0.0,0
2025-09-10 14:00:00,1.07904,1.07889,1.0792,1.07843,0.0,0
2025-09-10 15:00:00,1.07885,1.07847,1.07892,1.07754,0.0,0
2025-09-10 16:00:00,1.07846,1.07921,1.07927,1.078,0.0,0
2025-09-10 17:00:00,1.07923,1.07938,1.07955,1.07822,0.0,0
2025-09-10 18:00:00,1.07937,1.07884,1.07973,1.07842,0.0,0
2025-09-10 19:00:00,1.07883,1.07907,1.0794,1.07832,0.0,0
2025-09-10 20:00:00,1.07909,1.08017,1.08031,1.07836,0.0,0
2025-09-10 21:00:00,1.08017,1.07904,1.08035,1.07821,0.0,0
2025-09-10 22:00:00,1.07906,1.07971,1.08116,1.07877,0.0,0
2025-09-10 23:00:00,1.07972,1.08003,1.08043,1.07858,0.0,0
2025-09-11 00:00:00,1.08008,1.08014,1.08095,1.07937,0.0,0
2025-09-11 01:00:00,1.08011,1.0808,1.08092,1.07928,0.0,0
2025-09-11 02:00:00,1.08082,1.08117,1.08175,1.08039,0.0,0
2025-09-11 03:00:00,1.08116,1.08141,1.08152,1.08045,0.0,0
