Time,Open,High,Low,Close,Volume
2021.08.12 09:00,1.17396,1.17428,1.17335,1.1734,3179
2021.08.12 10:00,1.1734,1.17413,1.17311,1.17402,3465
2021.08.12 11:00,1.17402,1.17466,1.17356,1.17452,2830
2021.08.12 12:00,1.17451,1.17457,1.17393,1.174,2051
2021.08.12 13:00,1.174,1.17406,1.17323,1.17341,2081
2021.08.12 14:00,1.17339,1.17388,1.17305,1.17368,1897
2021.08.12 15:00,1.17367,1.17398,1.17256,1.17383,4839
2021.08.12 16:00,1.1738,1.17381,1.17219,1.17278,5221
2021.08.12 17:00,1.17276,1.1733,1.17219,1.17278,3748
2021.08.12 18:00,1.17279,1.17345,1.17252,1.17332,2981
2021.08.12 19:00,1.17333,1.17407,1.17323,1.17365,1758
2021.08.12 20:00,1.17361,1.1741,1.1733,1.17363,2049
2021.08.12 21:00,1.17363,1.17371,1.17283,1.17284,1421
2021.08.12 22:00,1.17284,1.17354,1.17284,1.17335,1354
2021.08.12 23:00,1.17331,1.17338,1.17274,1.17274,787
2021.08.13 00:00,1.17274,1.1731,1.17274,1.17289,193
2021.08.13 01:00,1.17291,1.17347,1.17276,1.17344,1165
2021.08.13 02:00,1.17347,1.17371,1.17334,1.17342,435
2021.08.13 03:00,1.17342,1.17347,1.17312,1.17344,1047
2021.08.13 04:00,1.17343,1.17391,1.17327,1.17377,1340
2021.08.13 05:00,1.17378,1.17408,1.17372,1.17391,1073
2021.08.13 06:00,1.1739,1.17399,1.17364,1.17379,974
2021.08.13 07:00,1.1738,1.17394,1.17366,1.17374,803
2021.08.13 08:00,1.17371,1.1738,1.17344,1.17352,670
2021.08.13 09:00,1.17352,1.17369,1.17303,1.17313,2039
2021.08.13 10:00,1.17314,1.17369,1.17285,1.17329,3013
2021.08.13 11:00,1.1733,1.17414,1.17325,1.17407,1982
2021.08.13 12:00,1.17409,1.17479,1.17388,1.17479,2274
2021.08.13 13:00,1.17479,1.17499,1.17447,1.17474,1714
2021.08.13 14:00,1.17476,1.17617,1.17465,1.17583,3166
2021.08.13 15:00,1.17584,1.17679,1.17583,1.17648,3146
