Time,Open,High,Low,Close,Volume
2024.07.30 06:00,1.83952,1.83987,1.83808,1.83822,1876
2024.07.30 07:00,1.83827,1.83835,1.83627,1.83717,1713
2024.07.30 08:00,1.8372,1.83747,1.83647,1.83687,2174
2024.07.30 09:00,1.83685,1.83697,1.83425,1.83445,3420
2024.07.30 10:00,1.8339,1.83697,1.83362,1.83579,3837
2024.07.30 11:00,1.83575,1.83711,1.8353,1.83645,3768
2024.07.30 12:00,1.83656,1.83831,1.83656,1.83729,3317
2024.07.30 13:00,1.8373,1.83907,1.8373,1.83857,2385
2024.07.30 14:00,1.83856,1.83931,1.83782,1.8383,2383
2024.07.30 15:00,1.83827,1.83907,1.8348,1.83486,3924
2024.07.30 16:00,1.83481,1.83604,1.83333,1.83377,4821
2024.07.30 17:00,1.83288,1.83477,1.83127,1.83207,5573
2024.07.30 18:00,1.83207,1.83337,1.83187,1.83289,4575
2024.07.30 19:00,1.83292,1.83317,1.8315,1.83265,4159
2024.07.30 20:00,1.83263,1.83332,1.83151,1.83267,3706
2024.07.30 21:00,1.83267,1.83275,1.83165,1.83199,2898
2024.07.30 22:00,1.83199,1.83307,1.83137,1.83178,2100
2024.07.30 23:00,1.83176,1.83257,1.83145,1.83173,1378
2024.07.31 00:00,1.83157,1.83273,1.83096,1.83101,1117
2024.07.31 01:00,1.83095,1.83186,1.83081,1.83132,1265
2024.07.31 02:00,1.83129,1.83267,1.83117,1.83217,1473
2024.07.31 03:00,1.83217,1.83317,1.83099,1.83239,3559
2024.07.31 04:00,1.83241,1.83727,1.82667,1.8317,4645
2024.07.31 05:00,1.83173,1.83348,1.8302,1.83294,3456
2024.07.31 06:00,1.83292,1.83309,1.83047,1.83307,2859
2024.07.31 07:00,1.83302,1.83406,1.83237,1.83257,3805
2024.07.31 08:00,1.83247,1.83488,1.83212,1.83287,3365
2024.07.31 09:00,1.83277,1.83287,1.8264,1.82654,4636
2024.07.31 10:00,1.82657,1.82851,1.82507,1.82603,4802
2024.07.31 11:00,1.82597,1.8301,1.8259,1.82937,5365
2024.07.31 12:00,1.82941,1.83131,1.82923,1.82947,4154
2024.07.31 13:00,1.82947,1.83195,1.82933,1.83027,3654
2024.07.31 14:00,1.83027,1.83087,1.82878,1.82907,3465
2024.07.31 15:00,1.82907,1.82977,1.82683,1.82707,5171
2024.07.31 16:00,1.82717,1.82721,1.82277,1.82303,5289
2024.07.31 17:00,1.82307,1.82588,1.82078,1.82185,6008
2024.07.31 18:00,1.82186,1.8235,1.81977,1.81992,5086
2024.07.31 19:00,1.81997,1.82022,1.81807,1.81847,3522
2024.07.31 20:00,1.81847,1.81937,1.81757,1.81796,3403
2024.07.31 21:00,1.81724,1.82117,1.81658,1.81857,6703
2024.07.31 22:00,1.81854,1.81998,1.81694,1.81848,5328
2024.07.31 23:00,1.81847,1.81941,1.81787,1.81911,1748
2024.08.01 00:00,1.81845,1.81942,1.817,1.81862,1054
2024.08.01 01:00,1.81862,1.81886,1.81775,1.81807,539
2024.08.01 02:00,1.81807,1.81907,1.81757,1.81857,1060
2024.08.01 03:00,1.81857,1.81947,1.81665,1.81717,4025
2024.08.01 04:00,1.81719,1.81894,1.8166,1.81865,4533
2024.08.01 05:00,1.81863,1.82083,1.81655,1.8176,3992
2024.08.01 06:00,1.81757,1.8206,1.8172,1.82014,2770
2024.08.01 07:00,1.82014,1.82015,1.81823,1.81848,2370
2024.08.01 08:00,1.81847,1.82039,1.81797,1.81811,2717
2024.08.01 09:00,1.81807,1.81984,1.81731,1.81813,4086
2024.08.01 10:00,1.81817,1.81854,1.81497,1.81582,3971
2024.08.01 11:00,1.81582,1.81647,1.81443,1.81577,4492
2024.08.01 12:00,1.81572,1.81577,1.81344,1.81377,3237
2024.08.01 13:00,1.81377,1.81535,1.81323,1.81487,2813
2024.08.01 14:00,1.81487,1.81617,1.8143,1.81529,4200
2024.08.01 15:00,1.81532,1.81537,1.81151,1.81227,5189
2024.08.01 16:00,1.81227,1.81257,1.80771,1.80807,5244
2024.08.01 17:00,1.80777,1.81107,1.8064,1.8102,6550
2024.08.01 18:00,1.81018,1.81138,1.80941,1.81007,5547
2024.08.01 19:00,1.81007,1.81121,1.80931,1.81084,5442
2024.08.01 20:00,1.81087,1.81317,1.81069,1.81248,4766
2024.08.01 21:00,1.81257,1.81458,1.81228,1.81338,3370
2024.08.01 22:00,1.81337,1.81537,1.81337,1.81355,3333
2024.08.01 23:00,1.81358,1.81499,1.8134,1.81358,1761
2024.08.02 00:00,1.81326,1.81439,1.81279,1.81396,622
2024.08.02 01:00,1.81387,1.81609,1.81374,1.81571,1487
2024.08.02 02:00,1.81577,1.81767,1.81507,1.81707,1993
2024.08.02 03:00,1.81707,1.81857,1.81707,1.81736,4039
2024.08.02 04:00,1.81735,1.81765,1.81368,1.81522,3370
2024.08.02 05:00,1.81526,1.81647,1.8136,1.81367,4007
2024.08.02 06:00,1.81364,1.81534,1.81344,1.81509,2983
2024.08.02 07:00,1.81508,1.81518,1.81287,1.81401,2437
2024.08.02 08:00,1.81402,1.81499,1.81352,1.81404,3770
2024.08.02 09:00,1.81399,1.81463,1.81162,1.81222,4338
2024.08.02 10:00,1.8122,1.81614,1.81134,1.81614,4802
2024.08.02 11:00,1.81609,1.81952,1.81552,1.81887,4367
2024.08.02 12:00,1.81897,1.82118,1.81823,1.81823,4020
2024.08.02 13:00,1.81828,1.81947,1.81777,1.81835,4095
2024.08.02 14:00,1.81837,1.82017,1.81816,1.81957,4479
2024.08.02 15:00,1.81957,1.82657,1.81361,1.82434,6886
2024.08.02 16:00,1.82433,1.82572,1.82123,1.82325,6562
2024.08.02 17:00,1.82325,1.82992,1.82277,1.82927,5655
2024.08.02 18:00,1.82927,1.83046,1.82751,1.82757,5275
2024.08.02 19:00,1.82759,1.83061,1.82757,1.82979,4771
2024.08.02 20:00,1.82979,1.83178,1.82887,1.83137,4037
2024.08.02 21:00,1.83137,1.83167,1.82923,1.83099,3172
2024.08.02 22:00,1.83101,1.83117,1.82917,1.82927,2984
2024.08.02 23:00,1.82927,1.8314,1.82892,1.8309,1434
2024.08.05 00:00,1.82929,1.83297,1.82891,1.83227,1018
2024.08.05 01:00,1.83226,1.83614,1.83181,1.83253,2499
2024.08.05 02:00,1.83256,1.83527,1.83233,1.83467,3773
2024.08.05 03:00,1.83467,1.83785,1.83239,1.83427,5371
2024.08.05 04:00,1.83428,1.83639,1.833,1.8352,6228
2024.08.05 05:00,1.83516,1.83551,1.83292,1.83427,4922
2024.08.05 06:00,1.8343,1.83657,1.83371,1.83642,4997
2024.08.05 07:00,1.83647,1.84317,1.8362,1.83942,5179
2024.08.05 08:00,1.83943,1.84897,1.83907,1.84843,6017
2024.08.05 09:00,1.8486,1.86487,1.84422,1.85017,7404
2024.08.05 10:00,1.85006,1.85271,1.84669,1.84729,7865
