Time,Open,High,Low,Close,Volume
2024.07.26 21:00,1.28731,1.28779,1.28708,1.28719,2054
2024.07.26 22:00,1.28719,1.28755,1.28693,1.28732,2140
2024.07.26 23:00,1.28731,1.28747,1.28628,1.28637,897
2024.07.29 00:00,1.28566,1.28687,1.28566,1.28635,655
2024.07.29 01:00,1.28627,1.28704,1.28598,1.28677,1107
2024.07.29 02:00,1.28678,1.28708,1.28662,1.28664,1191
2024.07.29 03:00,1.28665,1.2888,1.28627,1.28846,2023
2024.07.29 04:00,1.28846,1.28855,1.28775,1.28821,2597
2024.07.29 05:00,1.28822,1.28879,1.28821,1.28829,1798
2024.07.29 06:00,1.28827,1.28855,1.28808,1.28808,1149
2024.07.29 07:00,1.28809,1.28813,1.28736,1.28747,1245
2024.07.29 08:00,1.28746,1.28777,1.28697,1.28717,1626
2024.07.29 09:00,1.28715,1.28765,1.28641,1.28676,2363
2024.07.29 10:00,1.28673,1.2868,1.28299,1.28329,3825
2024.07.29 11:00,1.28329,1.28329,1.2808,1.2813,3845
2024.07.29 12:00,1.28129,1.28348,1.28068,1.28342,2808
2024.07.29 13:00,1.2834,1.28464,1.28288,1.28448,2962
2024.07.29 14:00,1.28447,1.28451,1.28244,1.28268,2705
2024.07.29 15:00,1.28271,1.28403,1.28224,1.28382,3132
2024.07.29 16:00,1.28381,1.28541,1.2834,1.28402,3299
2024.07.29 17:00,1.284,1.28475,1.28232,1.28466,4211
2024.07.29 18:00,1.28464,1.28564,1.28446,1.28497,3558
2024.07.29 19:00,1.28498,1.28598,1.2846,1.28544,2463
2024.07.29 20:00,1.28548,1.28646,1.28538,1.28641,2527
2024.07.29 21:00,1.28642,1.28647,1.28564,1.28641,2261
2024.07.29 22:00,1.28642,1.28677,1.28627,1.28649,2349
2024.07.29 23:00,1.28649,1.28652,1.28594,1.28612,571
2024.07.30 00:00,1.28598,1.28609,1.28556,1.28595,653
2024.07.30 01:00,1.28591,1.28657,1.28589,1.28656,647
2024.07.30 02:00,1.28657,1.28658,1.28587,1.28595,904
2024.07.30 03:00,1.28594,1.28594,1.2851,1.28537,1533
2024.07.30 04:00,1.28536,1.28545,1.28456,1.28471,1641
2024.07.30 05:00,1.2847,1.28522,1.28452,1.28511,1012
2024.07.30 06:00,1.28512,1.28551,1.28501,1.2855,916
2024.07.30 07:00,1.2855,1.28591,1.28548,1.28576,1035
2024.07.30 08:00,1.28575,1.28581,1.2847,1.28488,1525
2024.07.30 09:00,1.28484,1.28544,1.28435,1.28542,2691
2024.07.30 10:00,1.28535,1.28597,1.28486,1.28504,2953
2024.07.30 11:00,1.28511,1.2864,1.28489,1.28591,2977
2024.07.30 12:00,1.28593,1.28644,1.28562,1.28622,2232
2024.07.30 13:00,1.28623,1.28641,1.28552,1.28552,1751
2024.07.30 14:00,1.28551,1.28555,1.28437,1.28447,1896
2024.07.30 15:00,1.28446,1.28468,1.28287,1.28288,2952
2024.07.30 16:00,1.28288,1.28443,1.2825,1.28432,3687
2024.07.30 17:00,1.28433,1.28433,1.282,1.28271,4811
2024.07.30 18:00,1.28272,1.2833,1.28239,1.28278,4101
2024.07.30 19:00,1.28279,1.28379,1.28258,1.28334,3470
2024.07.30 20:00,1.28335,1.28391,1.28269,1.28325,3408
